Code_Canton;Code_Commune;Nom_Canton;Nom_commune;Politique ;;Maire;Téléphone;Adresse Mairie;Nom de la commune;Télécopie;Mail
3702;37056;AZAY LE RIDEAU;LA CHAPELLE AUX NAUX;DVD;;Philippe MASSARD;02.47.96.80.36;le bourg 37130 LA CHAPELLE AUX NAUX;Chapelle aux Naux (La);02.47.96.45.31;mairie.la.chapelle.aux.naux@wanadoo.fr
3704;37058;BOURGUEIL;LA CHAPELLE SUR LOIRE;;;Danielle THIRY;02.47.97.33.91;1 place Albert Ruelle 37140 LA CHAPELLE SUR LOIRE;Chapelle sur Loire (La);02.47.97.43.09;mairie.chapelle.sur.loire@wanadoo.fr
3716;37059;NEUILLE PONT PIERRE;CHARENTILLY;DVD;;Patrick LEHAGRE;02.47.56.65.46;37390 CHARENTILLY;Charentilly;02.47.56.53.56;mairie@charentilly.com
3701;37060;AMBOISE;chargé;;;Pascal DUPRÉ;02.47.57.04.01;2 bis Rue du Général de Gaulle 37530 CHARGE;Chargé;02.47.57.41.52;mairiedecharge@wanadoo.fr
3718;37061;PREUILLY SUR CLAISE;CHARNIZAY;;;Serge GERVAIS;02.47.94.53.02;2 place du 8 mai 1945 - 37290 CHARNIZAY;Charnizay;02.47.94.45.16;charnizaymairie@wanadoo.fr
3706;37063;CHÂTEAU RENAULT;CHÂTEAU RENAULT;PCF;;Michel COSNIER;02.47.29.85.50;le château BP 79 - 37110 CHATEAU RENAULT ;Château Renault;02.47.56.87.50;mairie@ville-chateau-renault.fr
3718;37064;PREUILLY SUR CLAISE;CHAUMUSSAY;;;Marie-Thérèse BRUNEAU;02.47.94.54.02;1 place de la Mairie 37350 CHAUMUSSAY;Chaumussay;02.47.94.54.06;chaumussaymairie@wanadoo.fr
3719;37065;RICHELIEU;CHAVEIGNES;DVD;;Philippe DUBOIS;02.47.58.16.74;le Bourg 37120 CHAVEIGNES;Chaveignes;02.47.95.31.16;mairie@chaveignes.fr
3713;37066;LOCHES;chédigny;UDI;;Pierre LOUAULT;02.47.92.51.43;5 Place de la Mairie 37310 CHEDIGNY;Chédigny;02.47.92.22.97;mairie-chedigny@wanadoo.fr
3702;37067;AZAY LE RIDEAU;cheillé;DVG;;Jean-Serge HURTEVENT;02.47.45.42.25;rue de Chinon 37190 CHEILLE;Cheillé;02.47.45.92.15;mairie.cheille@wanadoo.fr
3717;37068;NEUVY LE ROI;chemillé sur dême;DVD;;Eloi CANON;02.47.52.33.30;1 Place de l'Eglise 37370 CHEMILLE SUR DEME;Chemillé sur Dême;02.47.52.34.71;mairie.chemillesurdeme@wanadoo.fr
3715;37069;MONTRESOR;chemillé sur indrois;DVD;;Henry FREMONT;02.47.92.60.75;37460 CHEMILLE SUR INDROIS;Chemillé sur Indrois;02.47.92.67.98;mairie-chemille-sur-indrois@wanadoo.fr
3703;37070;BLERE;CHENONCEAUX;;;Maryse COUILLARD;02.47.23.90.13;1 place de la Mairie 37150 CHENONCEAUX;Chenonceaux;02.47.23.94.46;mairie.chenonceaux@wanadoo.fr
3710;37071;L'ILE BOUCHARD;chézelles;DVD;;Christian PIMBERT;02.47.58.52.02;place de la Mairie 37220 CHEZELLES;Chézelles;02.47.58.52.02;mairie.chezelles@gmail.com
3707;37072;CHINON;CHINON;DVD;;Jean-Luc DUPONT;02.47.93.53.00;Place du Général de Gaulle BP 10147 - 37501 CHINON  CEDEX;Chinon;02.47.98.47.92;ville.de.chinon@wanadoo.fr
3703;37073;BLERE;CHISSEAUX;;;Franck AUGIAS;02.47.23.90.75;2 rue Nationale 37150 CHISSEAUX;Chisseaux;02.47.23.95.70;mairie.de.chisseaux@wanadoo.fr
3704;37074;BOURGUEIL;chouzé sur loire;DVD;;Gilles THIBAULT;02.47.95.10.10;place des Déportés 37140 CHOUZE SUR LOIRE;Chouzé sur Loire;02.47.95.02.79;mairie.chouze-sur-loire@wanadoo.fr
3703;37075;BLERE;CIGOGNé;UDI;;Vincent LOUAULT;02.47.57.83.16;1 place  de la mairie 37310 CIGOGNE;Cigogné;02.47.23.57.12;mairie.cigogne@wanadoo.fr
3707;37076;CHINON;CINAIS;;;Denis FOUCHÉ;02.47.95.91.16;37500 CINAIS;Cinais;02.47.95.83.34;mairiecinais@wanadoo.fr
3712;37078;LIGUEIL;CIRAN;;;Jean-Paul GAULTIER;02.47.59.62.94;18 rue René Descartes 37240 CIRAN;Ciran;02.47.59.96.66;mairie.de.ciran@wanadoo.fr
3703;37079;BLERE;CIVRAY DE TOURAINE;;;Alain BERNARD;02.47.23.62.80;1 rue des Ecoles 37150 CIVRAY DE TOURAINE;Civray de Touraine;02.47.23.62.88;civraydetouraine@wanadoo.fr
3709;37080;DESCARTES;CIVRAY SUR ESVES;;;Patrick MERCIER;02.47.59.63.40;4 rue Charles Fonteneau 37160 CIVRAY SUR ESVES;Civray sur Esves;02.47.59.63.40;mairiecivraysuresves@rlan.eu
3711;37081;LANGEAIS;cléré les pins;;;Benoit BAROT;02.47.24.62.06;2 Place de la mairie 37340 CLERE LES PINS;Cléré les Pins;02.47.24.24.80;mairie-clere-37@wanadoo.fr
3704;37082;BOURGUEIL;CONTINVOIR;;;François GRANDEMANGE;02.47.96.76.02;13 rue du Manoir 37340 CONTINVOIR;Continvoir;02.47.96.48.84;mairie@continvoir.fr
3734;37083;CHAMBRAY LES TOURS;CORMERY;;;Antoine CAMPAGNE;02.47.43.40.66;18 place du Mail 37320 CORMERY;Cormery;02.47.43.03.15;mairie@cormery.fr
3705;37084;CHATEAU LA VALLIERE;COUESMES;DVD;;Nicolas VEAUVY;02.47.24.05.87;37330 COUESMES;Couesmes;02.47.24.03.42;mairiedecouesmes@wanadoo.fr
3703;37085;BLERE;Courçay;;;Jean-Francis BISTER;02.47.94.16.06;6 Rue du Commerce 37310 COURCAY;Courçay;02.47.94.10.26;mairiedecourcay@wanadoo.fr
3705;37086;CHATEAU LA VALLIERE;COURCELLES DE TOURAINE;;;Philippe ADET;02.47.24.63.56;2 rue Michel Pétrieux 37330 COURCELLES DE TOURAINE;Courcelles de Touraine;02.47.24.27.96;mairiecourcelles37@rlan.eu
3719;37087;RICHELIEU;courcoué;DVG;;Jean-François COUVRAT;02.47.58.30.03;8 rue de Richelieu 37120 COURCOUE;Courcoué;02.47.98.32.73;mairiedecourcoue@wanadoo.fr
3707;37088;CHINON;COUZIERS;DVD;;Ann CHEVALIER;02.47.95.95.45;1 rue de la Mairie 37500 COUZIERS;Couziers;02.47.95.95.45;mairiecouziers@wanadoo.fr
3710;37089;L'ILE BOUCHARD;cravant les côteaux;DVD;;Christophe BAUDRY;02.47.93.13.59;1 place Pierre Alliet 37500 CRAVANT LES COTEAUX;Cravant les Côteaux;02.47.98.45.84;cravant-mairie@wanadoo.fr
3710;37090;L'ILE BOUCHARD;CRISSAY SUR MANSE;DVD;;Michel MIRAULT;02.47.58.54.05;37220 CRISSAY SUR MANSE;Crissay sur Manse;02.47.95.27.56;crissay.mairie@wanadoo.fr
3703;37091;BLERE;LA CROIX EN TOURAINE;LR;;Jocelyne COCHIN;02.47.23.64.64;30 rue Nationale 37150 LA CROIX EN TOURAINE;Croix en Touraine (La);02.47.23.51.21;mairie.la.croix-en-touraine@wanadoo.fr
3706;37092;CHATEAU RENAULT;CROTELLES;DVD;;Rudolff FOUCTEAU;02.47.55.04.13;place Charles de Gaulle 37380 CROTELLES;Crotelles;02.47.55.01.08;mairie.crotelles@wanadoo.fr
3710;37093;L'ILE BOUCHARD;CROUZILLES;DVD;;Daniel BRISSEAU;02.47.58.55.15;37220 CROUZILLES;Crouzilles;02.47.58.57.83;mairie.crouzilles@wanadoo.fr
3709;37094;DESCARTES;CUSSAY;;;Alain ROCHER;02.47.59.61.84;16 rue Jean Michaud 37240 CUSSAY;Cussay;02.47.92.09.14;mairiecussay@wanadoo.fr
3706;37095;CHATEAU RENAULT;DAME MARIE LES BOIS;DVG;;Manuela PEREIRA;02.47.29.55.12;6 rue de Blémars 37110 DAME MARIE LES BOIS;Dame Marie les Bois;02.47.29.64.19;mairiedamemarie.lesbois@wanadoo.fr
3703;37096;BLERE;DIERRE;;;Max BESNARD;02.47.57.93.86;1400 rue de Chenonceaux - 37150 DIERRE;Dierre;02.47.23.91.74;mairie@dierre37.fr
3709;37098;DESCARTES;draché;;;Gilles CHAPOTON;02.47.65.02.13;17 Rue de la Mairie 37800 DRACHE;Draché;02.47.65.02.13;mairie.drache@wanadoo.fr
3731;37099;BALLAN MIRE;DRUYE;;;Corinne CHAILLEUX;02.47.50.10.66;7 rue des Fonchers 37190 DRUYE;Druye;02.47.50.06.72;lemaire@druye.fr
3717;37101;NEUVY LE ROI;epeigné sur dême;DVD;;Patrice TERPREAU;02.47.52.32.92;37370 EPEIGNE SUR DEME;Epeigné sur Dême;02.47.52.36.96;mairiedepeignesurdeme@wanadoo.fr
3711;37102;LANGEAIS;LES ESSARDS;;;Pierre LEYROLLES;02.47.96.71.30;37130 LES ESSARDS;Essards (Les);02.47.96.71.30;mairie.lesessards@wanadoo.fr
3712;37103;LIGUEIL;ESVES LE MOUTIER;;;Chantal BARTHELEMY;02.47.59.62.45;37240 ESVES LE MOUTIER;Esves le Moutier;02.47.92.06.00;mairie-esves-le-moutier@wanadoo.fr
3734;37104;CHAMBRAY LES TOURS;ESVRES SUR INDRE;LR;;Jean-Christophe GASSOT;02.47.34.35.36;rue Nationale 37320 ESVRES SUR INDRE;Esvres sur Indre;02.47.26.57.25;info@ville-esvres.fr
3719;37105;RICHELIEU;FAYE LA VINEUSE;;;David CAILLETEAU;02.47.95.66.11;1 place de la Mairie 37120 FAYE LA VINEUSE;Faye la Vineuse;02.47.95.66.11;mairie.fayelavineuse@wanadoo.fr
3706;37106;CHATEAU RENAULT;la ferrière;DVD;;Marc LEPRINCE;02.47.56.31.97;2 Place du Général de Gaulle 37110 LA FERRIERE;Ferrière (La);02.47.56.36.57;mairielaferriere37110@orange.fr
3708;37107;LE GRAND PRESSIGNY;ferrière larçon;DVD;;Gérard HÉNAULT;02.47.59.65.72;37350 FERRIERE LARCON;Ferrière Larçon;02.47.92.30.36;mairie.ferriere-larcon@wanadoo.fr
3713;37108;LOCHES;ferrière sur beaulieu;DVD;;Gilbert SABARD;02.47.91.94.94;1  Mail de la Mairie 37600 FERRIERE SUR BEAULIEU;Ferrière sur Beaulieu;02.47.91.62.27;mairie.ferrieresurbeaulieu@rlan.eu
3736;37109;LUYNES;FONDETTES;LR;;Cédric DE OLIVEIRA;02.47.88.11.11;34 rue Eugène Gouïn BP4 - 37230 FONDETTES ;Fondettes;02.47.42.29.82;mairie@ville-fondettes.fr
3703;37110;BLERE;FRANCUEIL;;;Pierre EHLINGER;02.47.23.91.43;rue des écoles 37150 FRANCUEIL;Francueil;02.47.23.93.75;mairie-francueil@orange.fr
3715;37111;MONTRESOR;genillé;DVD;;Jacques HERBERT;02.47.59.50.21;1 place Agnès Sorel 37460 GENILLE;Genillé;02.47.59.59.78;genille.mairie@wanadoo.fr
3704;37112;BOURGUEIL;GIZEUX;;;Thierry BEAUPIED;02.47.96.76.63;37340 GIZEUX;Gizeux;02.47.96.71.43;mairie.gizeux@wanadoo.fr
3708;37113;LE GRAND PRESSIGNY;LE GRAND PRESSIGNY;;;Christophe LE ROUX;02.47.94.90.37;place des Halles 37350 LE GRAND PRESSIGNY;Grand Pressigny (Le);02.47.91.04.77;le-grand-pressigny@wanadoo.fr
3708;37114;LE GRAND PRESSIGNY;LA GUERCHE;;;Franck HIDALGO;02.47.94.92.76;37350 LA GUERCHE;Guerche (La);02.47.91.06.96;mairielaguerche37@orange.fr
3709;37115;DESCARTES;DESCARTES;DVD;;Jacques BARBIER;02.47.91.42.00;BP 03 -  37160 DESCARTES ;Descartes;02.47.59.72.20;mairie@ville-descartes.fr
3706;37116;CHATEAU RENAULT;LES HERMITES;DVD;;Guy SAUVAGE de BRANTES;02.47.56.31.18;place de la Mairie 37110 LES HERMITES;Hermites (Les);02.47.56.08.47;mairie.les.hermites@wanadoo.fr
3705;37117;CHATEAU LA VALLIERE;HOMMES;;;Hubert HARDY;02.47.24.61.14;14 rue de Langeais 37340 HOMMES;Hommes;02.47.24.97.99;mairiedehommes@wanadoo.fr
3707;37118;CHINON;HUISMES;DVG;;Denis MOUTARDIER;02.47.95.52.78;place de l'Eglise BP 05 - 37420 HUISMES ;Huismes;02.47.95.48.01;huismes.mairie@wanadoo.fr
3711;37120;LANGEAIS;INGRANDES DE TOURAINE;;;Jean DUFRESNE;02.47.96.98.64;12 place de l 'église 37140 INGRANDES DE TOURAINE;Ingrandes de Touraine;02.47.96.93.05;ingrandes.village37@wanadoo.fr
3719;37121;RICHELIEU;JAULNAY;DVG;;Maurice TALLAND;02.47.95.64.58;place de l'Eglise 37120 JAULNAY;Jaulnay;02.47.95.65.17;mairie.jaulnay@wanadoo.fr
3728;37122;joué les tours;joué les tours;LR;;Frédéric AUGIS;02.47.39.70.00;place François Mitterand 37300 JOUE LES TOURS;Joué les Tours;02.47.39.71.14;cabinet@ville-jouelestours.fr
3711;37123;LANGEAIS;LANGEAIS;PS;;Pierre-Alain ROIRON;02.47.96.12.50;1 place du 14 juillet BP 98 - 37130 LANGEAIS ;Langeais;02.47.96.69.23;contact@langeais.fr
3737;37124;MONTLOUIS SUR LOIRE;larçay;;;Jean-François CESSAC;02.47.45.86.00;3 rue du 8 mai 1945 - 37270 LARCAY;Larçay;02.47.45.86.01;contact@ville-larcay.fr
3707;37126;CHINON;lerné;;;Maurice LESOURD;02.47.95.94.35;6 place du 8 Mai 37500 LERNE;Lerné;02.47.95.86.54;mairie.lerne@wanadoo.fr
3715;37127;MONTRESOR;le liège;DVD;;Marc HAMON;02.47.59.51.92;4 rue de la mairie 37460 LE LIEGE;Liège (Le);02.47.59.51.92;mairie.leliege@wanadoo.fr
3702;37128;AZAY LE RIDEAU;lignières de touraine;DVD;;Bernard VERON;02.47.96.72.13;37130 LIGNIERES DE TOURAINE;Lignières de Touraine;02.47.96.38.18;mairie.lignieres.de.touraine@wanadoo.fr
3719;37129;RICHELIEU;ligré;;;Bernard THIVEL;02.47.93.15.69;9 rue Saint-Martin 37500 LIGRE;Ligré;02.47.93.99.26;mairie.ligre@wanadoo.fr
3712;37130;LIGUEIL;LIGUEIL;PS;;Michel GUIGNAUDEAU;02.47.59.60.44;5 place de la République BP 06 - 37240 LIGUEIL ;Ligueil;02.47.59.94.97;accueil@ville-ligueil.fr
3701;37131;AMBOISE;LIMERAY;;;Eliane MAUGUERET;02.47.30.11.14;1 place du Général de Gaulle 37530 LIMERAY;Limeray;02.47.30.01.40;mairiedelimeray@wanadoo.fr
3713;37132;LOCHES;LOCHES;LR;;Marc ANGENAULT;02.47.91.19.50;BP 231 - 37602 LOCHES;Loches;02.47.91.19.69;cabinetdumaire@mairieloches.com
3715;37133;MONTRESOR;loché-sur-indrois;DVG;;Nisl JENSCH;02.47.92.61.55;41 rue de la Mairie 37460 LOCHE SUR INDROIS;Loché sur Indrois;02.47.92.66.73;mairie-loche-sur-indrois@wanadoo.fr
3712;37134;LIGUEIL;LOUANS;;;Micheline GOUGET BECHEREAU;02.47.92.83.13;place du 11 Novembre 37320 LOUANS;Louans;02.47.92.22.73;mairie-louans@wanadoo.fr
3717;37135;NEUVY LE ROI;LOUESTAULT;DVD;;Catherine CÔME;02.47.24.41.01;place de la mairie 37370 LOUESTAULT;Louestault;02.47.24.41.24;mairie-de-louestault@wanadoo.fr
3712;37136;LIGUEIL;LE LOUROUX;;;Eric DENIAU;02.47.92.82.07;37240 LE LOUROUX;Louroux (Le);02.47.92.22.91;mairie.lelouroux.37@wanadoo.fr
3705;37137;CHATEAU LA VALLIERE;lublé;;;Martine BACH;02.47.24.14.94;8 rue de la mairie 37330 LUBLE;Lublé;02.47.24.09.87;mairieluble@wanadoo.fr
3701;37138;AMBOISE;LUSSAULT SUR LOIRE;;;Georges RAMUSCELLO;02.47.57.16.29;2 route de Tours 37400 LUSSAULT SUR LOIRE;Lussault sur Loire;02.47.57.77.72;mairie.lussault@wanadoo.fr
3736;37139;LUYNES;LUYNES;DVD;;Bertrand RITOURET;02.47.55.35.55;place des Victoires 37230 LUYNES;Luynes;02.47.55.52.56;mairie@luynes.fr
3719;37140;RICHELIEU;luzé;DVD;;Jocelyne PIRONNET;02.47.58.32.52;37120 LUZE;Luzé;02.4.58.71.11;mairie.luze@wanadoo.fr
3703;37141;BLERE;luzillé;;;Jacky GAUVIN;02.47.57.84.19;4 et 6 rue de la Mairie 37150 LUZILLE;Luzillé;02.47.23.58.99;mairie.luzille@wanadoo.fr
3720;37142;STE MAURE DE TOURAINE;maillé;DVD;;Bernard ELIAUME;02.47.65.24.71;37800 MAILLE;Maillé;02.47.65.21.89;secretariat@maille.fr
3712;37143;LIGUEIL;MANTHELAN;;;Bernard PIPEREAU;02.47.91.23.00;1 mail de la Mairie 37240 MANTHELAN;Manthelan;02.47.91.23.05;mairie-manthelan@wanadoo.fr
3709;37145;DESCARTES;marcé sur esves;DVD;;Gérard DUBOIS;02.47.59.86.27;11 rue de la Mairie 37160 MARCE SUR ESVES;Marcé sur Esves;02.47.59.71.27;mairiemarcesuresves@wanadoo.fr
3705;37146;CHATEAU LA VALLIERE;MARCILLY-SUR-MAULNE;;;Dominique GUINOISEAU;02.47.40.90.38;Place de la Mairie 37330 MARCILLY SUR MAULNE;Marcilly sur Maulne;02 47 24 04 10 ;mairie-marcilly-sur-maulne@wanadoo.fr
