Nom de la commune;Maire;Politique ;Adresse Mairie;Téléphone;Télécopie;Mail;;;;;;;
Chouzé sur Loire;Gilles THIBAULT;DVD;place des Déportés 37140 CHOUZE SUR LOIRE;02.47.95.10.10;02.47.95.02.79;mairie.chouze-sur-loire@wanadoo.fr;;;;;;;
Cigogné;Vincent LOUAULT;UDI;1 place  de la mairie 37310 CIGOGNE;02.47.57.83.16;02.47.23.57.12;mairie.cigogne@wanadoo.fr;;;;;;;
Cinais;Denis FOUCHÉ;;37500 CINAIS;02.47.95.91.16;02.47.95.83.34;mairiecinais@wanadoo.fr;;;;;;;
Cinq Mars la  Pile;Jean-Marie CARLES;DVG;12 Place de la Mairie 37130 CINQ MARS LA PILE;02.47.96.20.30;02.47.96.38.52;cinq.mars.la.pile@wanadoo.fr;;;;;;;
Ciran;Jean-Paul GAULTIER;;18 rue René Descartes 37240 CIRAN;02.47.59.62.94;02.47.59.96.66;mairie.de.ciran@wanadoo.fr;;;;;;;
Civray de Touraine;Alain BERNARD;;1 rue des Ecoles 37150 CIVRAY DE TOURAINE;02.47.23.62.80;02.47.23.62.88;civraydetouraine@wanadoo.fr;;;;;;;
Civray sur Esves;Patrick MERCIER;;4 rue Charles Fonteneau 37160 CIVRAY SUR ESVES;02.47.59.63.40;02.47.59.63.40;mairiecivraysuresves@rlan.eu;;;;;;;
Cléré les Pins;Benoit BAROT;;2 Place de la mairie 37340 CLERE LES PINS;02.47.24.62.06;02.47.24.24.80;mairie-clere-37@wanadoo.fr;;;;;;;
Continvoir;François GRANDEMANGE;;13 rue du Manoir 37340 CONTINVOIR;02.47.96.76.02;02.47.96.48.84;mairie@continvoir.fr;;;;;;;
Cormery;Antoine CAMPAGNE;;18 place du Mail 37320 CORMERY;02.47.43.40.66;02.47.43.03.15;mairie@cormery.fr;;;;;;;
Couesmes;Nicolas VEAUVY;DVD;37330 COUESMES;02.47.24.05.87;02.47.24.03.42;mairiedecouesmes@wanadoo.fr;;;;;;;
Courçay;Jean-Francis BISTER;;6 Rue du Commerce 37310 COURCAY;02.47.94.16.06;02.47.94.10.26;mairiedecourcay@wanadoo.fr;;;;;;;
Courcelles de Touraine;Philippe ADET;;2 rue Michel Pétrieux 37330 COURCELLES DE TOURAINE;02.47.24.63.56;02.47.24.27.96;mairiecourcelles37@rlan.eu;;;;;;;
Courcoué;Jean-François COUVRAT;DVG;8 rue de Richelieu 37120 COURCOUE;02.47.58.30.03;02.47.98.32.73;mairiedecourcoue@wanadoo.fr;;;;;;;
Couziers;Ann CHEVALIER;DVD;1 rue de la Mairie 37500 COUZIERS;02.47.95.95.45;02.47.95.95.45;mairiecouziers@wanadoo.fr;;;;;;;
Cravant les Côteaux;Christophe BAUDRY;DVD;1 place Pierre Alliet 37500 CRAVANT LES COTEAUX;02.47.93.13.59;02.47.98.45.84;cravant-mairie@wanadoo.fr;;;;;;;
Crissay sur Manse;Michel MIRAULT;DVD;37220 CRISSAY SUR MANSE;02.47.58.54.05;02.47.95.27.56;crissay.mairie@wanadoo.fr;;;;;;;
Croix en Touraine (La);Jocelyne COCHIN;LR;30 rue Nationale 37150 LA CROIX EN TOURAINE;02.47.23.64.64;02.47.23.51.21;mairie.la.croix-en-touraine@wanadoo.fr;;;;;;;
Crotelles;Rudolff FOUCTEAU;DVD;place Charles de Gaulle 37380 CROTELLES;02.47.55.04.13;02.47.55.01.08;mairie.crotelles@wanadoo.fr;;;;;;;
Crouzilles;Daniel BRISSEAU;DVD;37220 CROUZILLES;02.47.58.55.15;02.47.58.57.83;mairie.crouzilles@wanadoo.fr;;;;;;;
Cussay;Alain ROCHER;;16 rue Jean Michaud 37240 CUSSAY;02.47.59.61.84;02.47.92.09.14;mairiecussay@wanadoo.fr;;;;;;;
Dame Marie les Bois;Manuela PEREIRA;DVG;6 rue de Blémars 37110 DAME MARIE LES BOIS;02.47.29.55.12;02.47.29.64.19;mairiedamemarie.lesbois@wanadoo.fr;;;;;;;
Descartes;Jacques BARBIER;DVD;BP 03 -  37160 DESCARTES ;02.47.91.42.00;02.47.59.72.20;mairie@ville-descartes.fr;;;;;;;
Dierre;Max BESNARD;;1400 rue de Chenonceaux - 37150 DIERRE;02.47.57.93.86;02.47.23.91.74;mairie@dierre37.fr;;;;;;;
Dolus le Sec;Régis GIRARD;DVD;11 rue Agnès Sorel 37310 DOLUS LE SEC;02.47.59.11.52;02.47.92.22.82;mairiededoluslesec@wanadoo.fr;;;;;;;
Draché;Gilles CHAPOTON;;17 Rue de la Mairie 37800 DRACHE;02.47.65.02.13;02.47.65.02.13;mairie.drache@wanadoo.fr;;;;;;;
Druye;Corinne CHAILLEUX;;7 rue des Fonchers 37190 DRUYE;02.47.50.10.66;02.47.50.06.72;lemaire@druye.fr;;;;;;;
Epeigné Les Bois;Christian PERCEVAULT;;2 rue Saint Vincent 37150 EPEIGNE LES BOIS;02.47.23.92.88;09.70.06.73.22;mairie.epeignelesbois@wanadoo.fr;;;;;;;
Epeigné sur Dême;Patrice TERPREAU;DVD;37370 EPEIGNE SUR DEME;02.47.52.32.92;02.47.52.36.96;mairiedepeignesurdeme@wanadoo.fr;;;;;;;
Essards (Les);Pierre LEYROLLES;;37130 LES ESSARDS;02.47.96.71.30;02.47.96.71.30;mairie.lesessards@wanadoo.fr;;;;;;;
Esves le Moutier;Chantal BARTHELEMY;;37240 ESVES LE MOUTIER;02.47.59.62.45;02.47.92.06.00;mairie-esves-le-moutier@wanadoo.fr;;;;;;;
Esvres sur Indre;Jean-Christophe GASSOT;LR;rue Nationale 37320 ESVRES SUR INDRE;02.47.34.35.36;02.47.26.57.25;info@ville-esvres.fr;;;;;;;
Faye la Vineuse;David CAILLETEAU;;1 place de la Mairie 37120 FAYE LA VINEUSE;02.47.95.66.11;02.47.95.66.11;mairie.fayelavineuse@wanadoo.fr;;;;;;;
Ferrière (La);Marc LEPRINCE;DVD;2 Place du Général de Gaulle 37110 LA FERRIERE;02.47.56.31.97;02.47.56.36.57;mairielaferriere37110@orange.fr;;;;;;;
Ferrière Larçon;Gérard HÉNAULT;DVD;37350 FERRIERE LARCON;02.47.59.65.72;02.47.92.30.36;mairie.ferriere-larcon@wanadoo.fr;;;;;;;
Ferrière sur Beaulieu;Gilbert SABARD;DVD;1  Mail de la Mairie 37600 FERRIERE SUR BEAULIEU;02.47.91.94.94;02.47.91.62.27;mairie.ferrieresurbeaulieu@rlan.eu;;;;;;;
Fondettes;Cédric DE OLIVEIRA;LR;34 rue Eugène Gouïn BP4 - 37230 FONDETTES ;02.47.88.11.11;02.47.42.29.82;mairie@ville-fondettes.fr;;;;;;;
Francueil;Pierre EHLINGER;;rue des écoles 37150 FRANCUEIL;02.47.23.91.43;02.47.23.93.75;mairie-francueil@orange.fr;;;;;;;
Genillé;Jacques HERBERT;DVD;1 place Agnès Sorel 37460 GENILLE;02.47.59.50.21;02.47.59.59.78;genille.mairie@wanadoo.fr;;;;;;;
Gizeux;Thierry BEAUPIED;;37340 GIZEUX;02.47.96.76.63;02.47.96.71.43;mairie.gizeux@wanadoo.fr;;;;;;;
Grand Pressigny (Le);Christophe LE ROUX;;place des Halles 37350 LE GRAND PRESSIGNY;02.47.94.90.37;02.47.91.04.77;le-grand-pressigny@wanadoo.fr;;;;;;;
Guerche (La);Franck HIDALGO;;37350 LA GUERCHE;02.47.94.92.76;02.47.91.06.96;mairielaguerche37@orange.fr;;;;;;;
Hermites (Les);Guy SAUVAGE de BRANTES;DVD;place de la Mairie 37110 LES HERMITES;02.47.56.31.18;02.47.56.08.47;mairie.les.hermites@wanadoo.fr;;;;;;;
Hommes;Hubert HARDY;;14 rue de Langeais 37340 HOMMES;02.47.24.61.14;02.47.24.97.99;mairiedehommes@wanadoo.fr;;;;;;;
Huismes;Denis MOUTARDIER;DVG;place de l'Eglise BP 05 - 37420 HUISMES ;02.47.95.52.78;02.47.95.48.01;huismes.mairie@wanadoo.fr;;;;;;;
Ile Bouchard (L');Valérie BOUCHAUD-VIOLLEAU;DVG;15 place Bouchard BP 26 - 37220 L ILE BOUCHARD ;02.47.58.50.15;02.47.58.67.35;mairie.ilebouchard@wanadoo.fr;;;;;;;
Ingrandes de Touraine;Jean DUFRESNE;;12 place de l 'église 37140 INGRANDES DE TOURAINE;02.47.96.98.64;02.47.96.93.05;ingrandes.village37@wanadoo.fr;;;;;;;
Jaulnay;Maurice TALLAND;DVG;place de l'Eglise 37120 JAULNAY;02.47.95.64.58;02.47.95.65.17;mairie.jaulnay@wanadoo.fr;;;;;;;
Joué les Tours;Frédéric AUGIS;LR;place François Mitterand 37300 JOUE LES TOURS;02.47.39.70.00;02.47.39.71.14;cabinet@ville-jouelestours.fr;;;;;;;
Langeais;Pierre-Alain ROIRON;PS;1 place du 14 juillet BP 98 - 37130 LANGEAIS ;02.47.96.12.50;02.47.96.69.23;contact@langeais.fr;;;;;;;
Larçay;Jean-François CESSAC;;3 rue du 8 mai 1945 - 37270 LARCAY;02.47.45.86.00;02.47.45.86.01;contact@ville-larcay.fr;;;;;;;
Lémeré;Martine JUSZCZAK;;1 route de Sazilly 37120 LEMERE;02.47.95.70.36;02.47.95.77.71;commune-lemere@wanadoo.fr;;;;;;;
Lerné;Maurice LESOURD;;6 place du 8 Mai 37500 LERNE;02.47.95.94.35;02.47.95.86.54;mairie.lerne@wanadoo.fr;;;;;;;
Liège (Le);Marc HAMON;DVD;4 rue de la mairie 37460 LE LIEGE;02.47.59.51.92;02.47.59.51.92;mairie.leliege@wanadoo.fr;;;;;;;
Lignières de Touraine;Bernard VERON;DVD;37130 LIGNIERES DE TOURAINE;02.47.96.72.13;02.47.96.38.18;mairie.lignieres.de.touraine@wanadoo.fr;;;;;;;
Ligré;Bernard THIVEL;;9 rue Saint-Martin 37500 LIGRE;02.47.93.15.69;02.47.93.99.26;mairie.ligre@wanadoo.fr;;;;;;;
Ligueil;Michel GUIGNAUDEAU;PS;5 place de la République BP 06 - 37240 LIGUEIL ;02.47.59.60.44;02.47.59.94.97;accueil@ville-ligueil.fr;;;;;;;
Limeray;Eliane MAUGUERET;;1 place du Général de Gaulle 37530 LIMERAY;02.47.30.11.14;02.47.30.01.40;mairiedelimeray@wanadoo.fr;;;;;;;
Loché sur Indrois;Nisl JENSCH;DVG;41 rue de la Mairie 37460 LOCHE SUR INDROIS;02.47.92.61.55;02.47.92.66.73;mairie-loche-sur-indrois@wanadoo.fr;;;;;;;
Loches;Marc ANGENAULT;LR;BP 231 - 37602 LOCHES;02.47.91.19.50;02.47.91.19.69;cabinetdumaire@mairieloches.com;;;;;;;
Louans;Micheline GOUGET BECHEREAU;;place du 11 Novembre 37320 LOUANS;02.47.92.83.13;02.47.92.22.73;mairie-louans@wanadoo.fr;;;;;;;
Louestault;Catherine CÔME;DVD;place de la mairie 37370 LOUESTAULT;02.47.24.41.01;02.47.24.41.24;mairie-de-louestault@wanadoo.fr;;;;;;;
Louroux (Le);Eric DENIAU;;37240 LE LOUROUX;02.47.92.82.07;02.47.92.22.91;mairie.lelouroux.37@wanadoo.fr;;;;;;;
Lublé;Martine BACH;;8 rue de la mairie 37330 LUBLE;02.47.24.14.94;02.47.24.09.87;mairieluble@wanadoo.fr;;;;;;;
Lussault sur Loire;Georges RAMUSCELLO;;2 route de Tours 37400 LUSSAULT SUR LOIRE;02.47.57.16.29;02.47.57.77.72;mairie.lussault@wanadoo.fr;;;;;;;
Luynes;Bertrand RITOURET;DVD;place des Victoires 37230 LUYNES;02.47.55.35.55;02.47.55.52.56;mairie@luynes.fr;;;;;;;
Luzé;Jocelyne PIRONNET;DVD;37120 LUZE;02.47.58.32.52;02.4.58.71.11;mairie.luze@wanadoo.fr;;;;;;;
Luzillé;Jacky GAUVIN;;4 et 6 rue de la Mairie 37150 LUZILLE;02.47.57.84.19;02.47.23.58.99;mairie.luzille@wanadoo.fr;;;;;;;
Maillé;Bernard ELIAUME;DVD;37800 MAILLE;02.47.65.24.71;02.47.65.21.89;secretariat@maille.fr;;;;;;;
Manthelan;Bernard PIPEREAU;;1 mail de la Mairie 37240 MANTHELAN;02.47.91.23.00;02.47.91.23.05;mairie-manthelan@wanadoo.fr;;;;;;;
Marcay;Claude BORDIER;DVD;8 rue de la Fontaine 37500 MARCAY;02.47.93.06.90;02.47.93.39.38;mairiemarcay@orange.fr;;;;;;;
Marcé sur Esves;Gérard DUBOIS;DVD;11 rue de la Mairie 37160 MARCE SUR ESVES;02.47.59.86.27;02.47.59.71.27;mairiemarcesuresves@wanadoo.fr;;;;;;;
Marcilly sur Maulne;Dominique GUINOISEAU;;Place de la Mairie 37330 MARCILLY SUR MAULNE;02.47.40.90.38;02 47 24 04 10 ;mairie-marcilly-sur-maulne@wanadoo.fr;;;;;;;
Marcilly sur Vienne;Thierry BRUNET;DVG;16 rue principale 37800 MARCILLY SUR VIENNE;02.47.65.20.43;02.47.65.20.43;mairiedemarcilly@wanadoo.fr;;;;;;;
Marigny Marmande;Christian PINEAU;;20 rue Grande rue 37120 MARIGNY MARMANDE;02.47.58.31.11;02.47.58.35.28;mairie.marigny-marmande@wanadoo.fr;;;;;;;
Marray;Patrick BOIVIN;;1 route de la Ferrière 37370 MARRAY;02.47.56.30.51;02.47.56.36.14;mairie.marray@wanadoo.fr;;;;;;;
Mazières de Touraine;Thierry ELOY;;37130 MAZIERES DE TOURAINE;02.47.96.41.54;02.47.96.59.12;mazieresdetouraine@wanadoo.fr;;;;;;;
Membrolle sur Choisille (La);Sébastien MARAIS;;Place de l'Europe - BP 13 - 37390 LA MEMBROLLE /CHOISILLE ;02.47.41.21.28;02.47.54.83.96;mairie@ville-la-membrolle37.fr;;;;;;;
Mettray;Philippe CLEMOT;;3 rue du dolmen 37390 METTRAY;02.47.41.22.29;02.47.41.13.21;administration@ville-mettray.fr;;;;;;;
Monnaie;Olivier VIÉMONT;;Place Charles de Gaulle 37380 MONNAIE;02.47.56.10.20;02.47.56.49.90;mairie-de-monnaie@wanadoo.fr;;;;;;;
Montbazon;Bernard REVECHE;DVD;place André Delaunay 37250 MONTBAZON;02.47.26.01.30;02.47.73.13.92;mairie.montbazon@wanadoo.fr;;;;;;;
Monthodon;Olivier PODEVIN;EELV;1 rue du 8 Mai 1945 - 37110 MONTHODON;02.47.29.56.05;02.47.29.51.70;mairie.monthodon@wanadoo.fr;;;;;;;
Montlouis sur Loire;Vincent MORETTE;PS;place François Mitterrand 37270 MONTLOUIS SUR LOIRE;02.47.45.85.85;02.47.45.15.74;mairie@ville-montlouis-loire.fr;;;;;;;
Montrésor;Christophe UNRUG;DVD;23 rue Grande Rue 37460 MONTRESOR;02.47.91.43.00;02.47.92.71.11;mairie-montresor@wanadoo.fr;;;;;;;
